,Vaknaam,prfl_bestandnaam,prfl_oriÃ«ntatie,prfl_dijkhoogte,gekb_situatie,Golfhoogteklasse,LocationID,Faalkans
0,RW000,RW000.prfl,226,10.51,Bebouwing in kruin/talud,Klasse < 1m,13811002,1.028694e-05
3,RW003,RW003.prfl,191,10.87,Bebouwing in kruin/talud,Klasse < 1m,13811005,1.4423013e-06
12,RW012,RW012.prfl,244,10.84,Bebouwing in kruin/talud,Klasse < 1m,13811013,1.825329e-06
13,RW013,RW013.prfl,236,10.82,Bebouwing in kruin/talud,Klasse < 1m,13811015,1.7012061e-06
23,RW023,RW023.prfl,256,10.27,Bebouwing in kruin/talud,Klasse < 1m,13811024,6.9568077e-06
24,RW024,RW024.prfl,164,9.93,BOI: nette overgang talud - gesloten zode,Klasse < 1m,13819026,2.722567e-05
26,RW026,RW026.prfl,170,9.95,BOI: nette overgang kruin - gesloten zode,Klasse < 1m,13819028,6.157933e-06
27,RW027,RW027.prfl,157,9.98,BOI: nette overgang kruin - gesloten zode,Klasse < 1m,13811030,5.191972e-06
32,RW032,RW032.prfl,143,9.93,BOI: nette overgang talud - gesloten zode,Klasse < 1m,13811035,1.9848168e-05
46,RW046,RW046.prfl,154,9.87,BOI: nette overgang kruin - gesloten zode,Klasse < 1m,13811049,6.4516075e-06
50,RW050,RW050.prfl,169,9.89,BOI: nette overgang kruin - gesloten zode,Klasse < 1m,13811053,6.0844404e-06
62,RW062,RW062.prfl,244,10.45,Bebouwing in kruin/talud,Klasse < 1m,13811064,2.2392783e-06
63,RW063,RW063.prfl,248,10.22,Bebouwing in kruin/talud,Klasse < 1m,13811065,7.5580406e-06
73,RW073,RW073.prfl,181,10.17,Bebouwing in kruin/talud,Klasse < 1m,13811076,4.187041e-06
75,RW075,RW075.prfl,183,10.11,Bebouwing in kruin/talud,Klasse < 1m,13811078,3.5558128e-06
76,RW076,RW076.prfl,163,10.13,Bebouwing in kruin/talud,Klasse < 1m,13811079,4.250539e-06
83,RW083,RW083.prfl,151,10.17,Bebouwing in kruin/talud,Klasse < 1m,13811086,2.1997255e-06
87,RW087,RW087.prfl,166,8.96,NVT,-,13811095,inf
89,RW089,RW089.prfl,167,9.51,BOI: nette overgang kruin - gesloten zode,Klasse < 1m,13811096,4.2843276e-06
91,RW091,RW091.prfl,259,9.33,BOI: nette overgang kruin - gesloten zode,Klasse < 1m,13811097,9.787243e-06
96,RW096,RW096.prfl,100,9.32,BOI: nette overgang kruin - gesloten zode,Klasse < 1m,13811103,8.542604e-06
97,RW097,RW097.prfl,196,9.27,BOI: nette overgang talud - gesloten zode,Klasse < 1m,13811103,2.5106858e-05
98,RW098,RW098.prfl,196,9.39,NVT,-,13811104,inf
105,RW105,RW105.prfl,130,9.32,NVT,-,13811113,inf
106,RW106,RW106.prfl,182,9.32,NVT,-,13811113,inf
109,RW109,RW109.prfl,185,9.31,Bebouwing in kruin/talud,Klasse < 1m,13819116,6.396678e-06
111,RW111,RW111.prfl,166,9.31,Bebouwing in kruin/talud,Klasse < 1m,13819118,7.023987e-06
113,RW113,RW113.prfl,171,9.19,BOI: nette overgang kruin - gesloten zode,Klasse < 1m,13811120,4.0075533e-06
115,RW115,RW115.prfl,148,9.21,BOI: nette overgang kruin - gesloten zode,Klasse < 1m,13811122,3.537826e-06
120,RW120,RW120.prfl,141,9.17,BOI: nette overgang kruin - gesloten zode,Klasse < 1m,13811127,3.6793565e-06
128,RW128,RW128.prfl,175,9.1,Bebouwing in kruin/talud,Klasse < 1m,13811135,6.7737396e-06
136,RW136,RW136.prfl,189,9.13,Bebouwing in kruin/talud,Klasse < 1m,13811141,6.1337164e-06
138,RW138,RW138.prfl,191,9.08,Bebouwing in kruin/talud,Klasse < 1m,13811143,7.771466e-06
149,RW149,RW149.prfl,212,8.51,BOI: nette overgang kruin - gesloten zode,Klasse < 1m,13811153,1.3785125e-05
158,RW158,RW158.prfl,178,8.81,Bebouwing in kruin/talud,Klasse < 1m,13811162,4.696384e-06
163,RW163,RW163.prfl,125,8.8,Bebouwing in kruin/talud,Klasse < 1m,13811168,7.084043e-06
168,RW168,RW168.prfl,180,8.62,BOI: nette overgang talud - gesloten zode,Klasse < 1m,13811172,7.88389e-06
171,RW171,RW171.prfl,181,8.52,BOI: nette overgang kruin - gesloten zode,Klasse < 1m,13811175,3.5626636e-06
173,RW173,RW173.prfl,163,8.57,BOI: nette overgang kruin - gesloten zode,Klasse < 1m,13811177,2.0644115e-06
180,RW180,RW180.prfl,181,8.46,BOI: nette overgang talud - gesloten zode,Klasse < 1m,13811184,6.9425596e-06
185,RW185,RW185.prfl,157,8.01,BOI: nette overgang kruin - gesloten zode,Klasse < 1m,13811189,8.084831e-06
189,RW189,RW189.prfl,190,8.58,Bebouwing in kruin/talud,Klasse < 1m,13811193,2.7086787e-06
191,RW191,RW191.prfl,152,8.14,Bebouwing in kruin/talud,Klasse < 1m,13811196,1.7355453e-05
192,RW192,RW192.prfl,149,8.03,Bebouwing in kruin/talud,Klasse < 1m,13811197,1.8072005e-05
196,RW196,RW196.prfl,159,8.03,BOI: nette overgang talud - gesloten zode,Klasse < 1m,13811201,1.2036483e-05
202,RW202,RW202.prfl,206,8.07,Bebouwing in kruin/talud,Klasse < 1m,13811206,7.2757575e-06
204,RW204,RW204.prfl,233,7.83,BOI: nette overgang kruin - gesloten zode,Klasse < 1m,13811208,8.25961e-06
206,RW206,RW206.prfl,216,7.96,BOI: nette overgang kruin - gesloten zode,Klasse < 1m,13811210,4.006243e-06
209,RW209,RW209.prfl,213,8.03,Bebouwing in kruin/talud,Klasse < 1m,13811213,5.0598464e-06
216,RW216,RW216.prfl,186,7.93,Bebouwing in kruin/talud,Klasse < 1m,13811220,4.249351e-06
222,RW222,RW222.prfl,237,7.71,Bebouwing in kruin/talud,Klasse < 1m,13811226,7.2876746e-06
230,RW230,RW230.prfl,214,7.53,Bebouwing in kruin/talud,Klasse < 1m,13811234,7.797926e-06
245,RW245,RW245.prfl,106,7.63,Bebouwing in kruin/talud,Klasse < 1m,13811250,7.5292814e-06
250,RW250,RW250.prfl,151,7.29,Bebouwing in kruin/talud,Klasse < 1m,13811255,5.7610464e-06
252,RW252,RW252.prfl,156,7.21,Bebouwing in kruin/talud,Klasse < 1m,13811257,7.762665e-06
254,RW254,RW254.prfl,158,7.19,Bebouwing in kruin/talud,Klasse < 1m,13811258,7.5625017e-06
257,RW257,RW257.prfl,190,7.04,Bebouwing in kruin/talud,Klasse < 1m,13811261,7.6591805e-06
260,RW260V,RW260V.prfl,91,8.08,Bebouwing in kruin/talud,Klasse < 1m,13811265,1.15572725e-08
274,RW274V,RW274V.prfl,174,8.53,Bebouwing in kruin/talud,Klasse < 1m,13811277,3.2440864e-10
283,RW283V,RW283V.prfl,119,6.96,Bebouwing in kruin/talud,Klasse < 1m,13811286,7.5494704e-06
284,RW288,RW288.prfl,32,6.93,Bebouwing in kruin/talud,Klasse < 1m,13811287,7.5975845e-06
286,RW290,RW290.prfl,37,6.81,Bebouwing in kruin/talud,Klasse < 1m,13811288,8e-06
