Description,Cost,Unit
Inward starting costs,252.44,€/m
Inward added volume,58.76,€/m3
Outward added volume,50.75,€/m3
Outward reused volume,18.59,€/m3
Outward reuse factor,0.7,-
Outward compensation factor,0.5,-
Outward removed volume,27.59,€/m3
Road renewal,1070,€/m
Sheetpile,690,€/m2
Anchored sheetpile, 1100.0, €/m2
Diaphragm wall,34190,€/m
House removal,500000,€/unit
Vertical Geotextile,1700,€/m
Coarse Sand Barrier,1700,€/m
Heavescreen,400,€/m2
Remove block revetment, 15.66, €/m2
Remove asphalt revetment, 33.92, €/m2
Installation of blocks (D=30cm), 206.89, €/m2
Installation of blocks (D=35cm), 235.93, €/m2
Installation of blocks (D=40cm), 264.06, €/m2
Installation of blocks (D=45cm), 291.16, €/m2
Installation of blocks (D=50cm), 318.26, €/m2